ORDER_NUMBER,ORDER_TYPE,ORDER_DESCRIPTION,ISSUE_CODE,ISSUE_DESCRIPTION,MAINT_ACTIVITY_TYPE,MAINT_ACTIVITY_DESCRIPTION,ORDER_CREATE_DATE,ORDER_CREATE_TIME,JOB_PRIORITY,SUBURB,STREET,HOUSE_NUM1,HOUSE_NUM2,POSTCODE,FITTER_DISTRICT,WORK_TIME_ELAPSED
401564866,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210818,14:44:16,A,CARLTON,MILL ST,13,U 1,2218,340,15
401564866,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210818,14:44:16,A,CARLTON,MILL ST,13,U 1,2218,340,15
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
401563122,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,08:53:42,A,WOOLOOWARE,WILLS RD,1,DUP 2,2230,350,80
401565019,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210819,09:22:44,A,GLENWOOD,KOSMINA ST,6,LOT149,2768,220,155
401565019,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210819,09:22:44,A,GLENWOOD,KOSMINA ST,6,LOT149,2768,220,155
401565019,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210819,09:22:44,A,GLENWOOD,KOSMINA ST,6,LOT149,2768,220,145
401565019,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210819,09:22:44,A,GLENWOOD,KOSMINA ST,6,LOT149,2768,220,145
401566068,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210820,08:50:54,A,ORANGE,BURRENDONG WAY,346,LOT6,2800,810,150
